id;nome;email;cpf;telefone;senha;ativo;created_at;updated_at
1;Ana Beatriz Souza;ana.beatriz.souza@email.com;450.877.564-45;(44) 98411-8323;d5a8d8c7ab0514e2b8a2f98769281585;1;2025-04-19 23:17:22;2025-04-29 13:48:31
2;Carlos Eduardo Lima;carlos.eduardo.lima@email.com;699.127.657-85;(47) 99089-5370;6dcd0e14f89d67e397b9f52bb63f5570;1;2025-05-25 14:27:54;2025-08-31 21:51:58
3;Mariana Alves;mariana.alves@email.com;951.459.742-66;(46) 98502-5986;428e859901e1b27ec01c7921afc31d98;1;2024-08-13 01:19:20;2025-01-01 14:23:25
4;Roberto Nunes;roberto.nunes@email.com;404.295.235-64;(43) 98816-2346;7bec9c4e6c240015c5dc9a788de26df0;1;2025-04-03 23:51:44;2025-05-14 11:32:16
5;Juliana Prado;juliana.prado@email.com;60835551395;(49) 98468-6191;25d2863bcd839a957aabe84dedcb9e47;1;2024-11-19 09:26:15;2025-06-07 00:14:55
6;Fernando Castro;fernando.castro@email.com;534.910.394-99;(49) 99486-6833;052376a5c812e423250bbde349da5af2;1;2024-06-18 17:30:34;2025-10-02 22:55:45
7;Patricia Gomes;patricia.gomes@email.com;420.807.238-93;(46) 99053-6886;9130a36a491dde6e814d7c169b14ce28;1;20/03/2025 16:58:10;2025-09-27 02:21:57
8;Rafael Moreira;rafael.moreira@email.com;512.641.916-59;;76f36156c09dd929c9b50831f7739105;1;2024-10-29 12:44:41;2025-05-01 00:56:08
9;Camila Ribeiro;camila.ribeiro@email.com;684.179.735-76;(44) 98157-8266;0e5d52a413bf18362fe629d8f794b38a;0;2024-10-28 07:49:56;2025-07-03 04:39:06
10;Bruno Tavares;bruno.tavares@email.com;90435248321;(47) 98293-7858;7f303d0c9b5f40c0ecf101d9441e641a;1;2024-01-14 08:54:56;2024-12-02 17:50:02
11;Leticia Barros;leticia.barros@email.com;543.232.333-62;47996291367;5b21edb8b453d2b4cf6f953c9da89dc4;1;2024-09-07 17:10:31;2025-04-01 16:25:15
12;Marcelo Dias;marcelo.dias@email.com;645.346.679-74;(47) 98164-4026;3021c213f760bfa44ec24c21d236aaa3;1;2025-03-09 00:54:41;2025-05-07 07:24:35
13;Vanessa Rocha;vanessa.rocha@email.com;627.579.253-74;(43) 99267-7259;bb92626e77b8917324e4b70963d436cc;1;15/07/2024;2024-11-03 00:50:41
14;Thiago Martins;thiago.martins@email.com;295.590.348-64;(48) 99925-9220;33b4596a693f837631d98e8fa29ed822;1;15/12/2024 11:59:14;2025-09-03 21:16:02
15;Gabriela Pinto;gabriela.pinto@email.com;15240222413;(49) 98540-1935;b8ea6802b1194bf9d47dcddf68d9cda6;1;2024-01-21 16:46:36;2025-06-16 09:31:48
16;Andre Carvalho;andre.carvalho@email.com;345.190.566-87;;1785d25b8a9e362ddded86b31e9a1959;1;2024-03-25 20:44:22;2025-10-27 00:35:42
17;Renata Freitas;renata.freitas@email.com;;(44) 99273-5648;7e752a0162502d9e60cf4445ce7fe446;S;2025-05-20 00:38:06;2025-10-17 16:07:42
18;Diego Cardoso;diego.cardoso@email.com;479.487.916-95;(48) 99546-9686;3719ba799054903b0733606fab739ac9;1;2024-10-11 15:48:49;2025-10-31 10:58:58
19;Larissa Monteiro;larissa.monteiro@email.com;713.328.357-70;(43) 98049-2028;f16cbb659a41811f0459982996ce22ee;1;2024-02-09 18:41:02;2025-08-24 12:08:21
20;Paulo Henrique Reis;paulo.henrique.reis@email.com;52086232770;(42) 98242-4709;1cec8404229f67125b1b7346217f0945;1;2025-01-01 13:44:26;2025-03-10 15:39:04
21;Aline Correia;aline.correia@email.com;219.599.465-88;(46) 99899-8920;65bf5d40f5577060280d9943be3d6cd1;1;19/03/2025 03:26:06;2025-09-06 10:38:18
22;Gustavo Peixoto;gustavo.peixoto@email.com;856.180.704-23;47990671346;c057b919262771914f28fb651ba11eb3;1;2024-08-15 05:02:24;2025-02-06 08:19:40
23;Simone Vieira;simone.vieira@email.com;919.814.277-60;(48) 98466-3571;0867dd7dbaf6822295f02d582cf90ef5;1;2025-05-08 07:01:52;2025-11-09 13:06:25
24;Rodrigo Antunes;rodrigo.antunes@email.com;130.722.341-39;;62133630df261492b76fa015196f0741;1;2024-01-21 22:33:45;2024-05-09 02:09:32
25;Bianca Teixeira;bianca.teixeira@email.com;42180881443;(49) 98412-7429;d94057b9b09da318664aefdd92d4e802;1;2024-03-27 17:52:11;2025-03-15 02:42:45
